Task,Status,Owner,Stage,Due date,Notes
Complete Task 01,Not started,Kyle,Pre-event,4/16/2025,Notes
Complete Task 02,In progress,Kyle,Day of,4/17/2025,Notes
Complete Task 03,Blocked,Kyle,Post-event,4/18/2025,Notes
Complete Task 04,Completed,Kyle,Post-event,4/19/2025,Notes
Complete Task 05,Completed,Kyle,Post-event,4/20/2025,Notes
Complete Task 06,Completed,Kyle,Post-event,4/21/2025,Notes
Complete Task 07,Completed,Kyle,Post-event,4/22/2025,Notes
Complete Task 08,Completed,Kyle,Post-event,4/23/2025,Notes
Complete Task 09,Completed,Kyle,Post-event,4/24/2025,Notes
Complete Task 10,Completed,Kyle,Post-event,4/25/2025,Notes
Complete Task 11,Completed,Kyle,Post-event,4/26/2025,Notes
Complete Task 12,Completed,Kyle,Post-event,4/27/2025,Notes
Complete Task 13,Blocked,Kyle,Post-event,4/28/2025,Notes
Complete Task 14,Not started,Kyle,Post-event,4/29/2025,Notes